False,False,False,0
False,False,False,-0,3333333
False,False,False,-0,6111111
False,False,False,-1,679487
False,False,False,-1,740062
False,False,False,-1,75873
False,False,False,-1,772635
False,False,False,-1,790762
False,False,False,-1,809331
False,False,False,-1,827809
False,False,False,-1,845293
False,False,False,-1,863826
False,False,False,-1,874356
False,False,False,-1,886313
False,False,False,-1,897612
False,False,False,-1,907825
False,False,False,-1,91688
False,False,False,-1,924571
False,False,False,-1,928587
False,False,False,-1,932359
False,False,False,-1,936029
False,False,False,-1,939733
False,False,False,-1,94297
False,False,False,-1,945965
False,False,False,-1,948822
False,False,False,-1,951511
False,False,False,-1,954104
False,False,False,-1,956557
False,False,False,-1,95895
False,False,False,-1,961024
False,False,False,-1,963132
False,False,False,-1,965221
False,False,False,-1,967071
False,False,False,-1,968818
False,False,False,-1,970435
False,False,False,-1,972048
False,False,False,-1,97353
False,False,False,-1,974948
False,False,False,-1,976293
False,False,False,-1,977629
False,False,False,-1,978804
False,False,False,-1,979916
False,False,False,-1,98104
False,False,False,-1,982069
False,False,False,-1,983042
False,False,False,-1,983945
False,False,False,-1,985286
False,False,False,-1,986073
False,False,False,-1,986843
False,False,False,-1,987535
False,False,False,-1,988229
False,False,False,-1,988863
False,False,False,-1,989508
False,False,False,-1,990058
False,False,False,-1,990558
False,False,False,-1,991072
False,False,False,-1,991547
False,False,False,-1,991998
False,False,False,-1,992412
False,False,False,-1,992829
False,False,False,-1,993216
False,False,False,-1,993579
False,False,False,-1,993933
False,False,False,-1,99425
False,False,False,-1,994555
False,False,False,-1,99486
False,False,False,-1,995149
False,False,False,-1,995404
False,False,False,-1,995655
False,False,False,-1,995901
False,False,False,-1,996125
False,False,False,-1,996326
False,False,False,-1,996516
False,False,False,-1,996716
False,False,False,-1,996901
False,False,False,-1,997068
False,False,False,-1,997241
False,False,False,-1,997385
False,False,False,-1,997542
False,False,False,-1,997682
False,False,False,-1,997816
False,False,False,-1,997956
False,False,False,-1,99808
False,False,False,-1,998197
False,False,False,-1,998299
False,False,False,-1,998457
False,False,False,-1,998562
False,False,False,-1,998651
False,False,False,-1,998743
False,False,False,-2,000576
False,False,False,-2,002751
False,False,False,-2,005029
False,False,False,-2,007441
False,False,False,-2,010411
False,False,False,-2,013728
False,False,False,-2,017306
False,False,False,-2,020887
False,False,False,-2,025001
False,False,False,-2,029068
False,False,False,-2,033349
False,False,False,-2,038324
False,False,False,-2,04307
False,False,False,-2,048106
False,False,False,-2,053351
False,False,False,-2,058944
False,False,False,-2,064543
False,False,False,-2,07031
False,False,False,-2,076439
False,False,False,-2,082096
False,False,False,-2,08815
False,False,False,-2,094569
False,False,False,-2,101219
False,False,False,-2,107652
False,False,False,-2,11421
False,False,False,-2,121116
False,False,False,-2,128045
False,False,False,-2,138822
False,False,False,-2,145966
False,False,False,-2,152903
False,False,False,-2,160362
False,False,False,-2,167524
False,False,False,-2,174911
False,False,False,-2,18251
False,False,False,-2,190026
False,False,False,-2,197912
False,False,False,-2,205394
False,False,False,-2,212883
False,False,False,-2,221096
False,False,False,-2,229171
False,False,False,-2,236806
False,False,False,-2,244624
False,False,False,-2,252991
False,False,False,-2,260699
False,False,False,-2,268387
False,False,False,-2,276469
False,False,False,-2,284501
False,False,False,-2,292787
False,False,False,-2,300849
False,False,False,-2,309103
False,False,False,-2,316746
False,False,False,-2,324953
False,False,False,-2,333378
False,False,False,-2,341326
False,False,False,-2,349792
False,False,False,-2,358525
False,False,False,-2,366415
False,False,False,-2,373478
False,False,False,-2,38025
False,False,False,-2,386781
False,False,False,-2,392896
False,False,False,-2,398366
False,False,False,-2,403627
False,False,False,-2,408984
False,False,False,-2,413983
False,False,False,-2,418699
False,False,False,-2,423165
False,False,False,-2,427149
False,False,False,-2,431111
False,False,False,-2,434746
False,False,False,-2,438295
False,False,False,-2,441398
False,False,False,-2,444426
False,False,False,-2,447397
False,False,False,-2,450246
False,False,False,-2,452807
False,False,False,-2,455283
False,False,False,-2,457788
False,False,False,-2,460022
False,False,False,-2,462181
False,False,False,-2,464288
False,False,False,-2,466315
False,False,False,-2,468104
False,False,False,-2,469764
False,False,False,-2,47161
False,False,False,-2,473433
False,False,False,-2,475365
False,False,False,-2,477125
False,False,False,-2,478659
False,False,False,-2,480022
False,False,False,-2,48148
False,False,False,-2,482681
False,False,False,-2,483768
False,False,False,-2,484855
False,False,False,-2,485838
False,False,False,-2,487041
False,False,False,-2,487827
False,False,False,-2,488508
False,False,False,-2,489552
False,False,False,-2,490129
False,False,False,-2,490783
False,False,False,-2,491499
False,False,False,-2,49196
False,False,False,-2,492384
False,False,False,-2,492809
False,False,False,-2,493232
False,False,False,-2,493596
False,False,False,-2,49394
False,False,False,-2,494265
False,False,False,-2,494584
False,False,False,-2,494905
False,False,False,-2,49518
False,False,False,-2,495438
False,False,False,-2,495691
False,False,False,-2,495931
False,False,False,-2,496148
False,False,False,-2,496361
False,False,False,-2,496577
False,False,False,-2,496759
False,False,False,-2,49693
False,False,False,-2,497093
False,False,False,-2,497257
False,False,False,-2,497416
False,False,False,-2,497554
False,False,False,-2,497692
False,False,False,-2,497814
False,False,False,-2,497934
False,False,False,-2,498055
False,False,False,-2,49816
False,False,False,-2,498255
False,False,False,-2,498351
False,False,False,-2,498441
False,False,False,-2,498526
False,False,False,-2,498609
False,False,False,-2,498687
False,False,False,-2,498757
False,False,False,-2,498822
False,False,False,-2,498883
False,False,False,-2,498944
False,False,False,-2,499004
False,False,False,-2,499058
False,False,False,-2,499112
False,False,False,-2,499158
False,False,False,-2,499202
False,False,False,-2,499245
False,False,False,-2,49929
False,False,False,-2,499329
False,False,False,-2,499365
False,False,False,-2,499401
False,False,False,-2,499433
False,False,False,-2,499465
False,False,False,-2,499494
False,False,False,-2,499523
False,False,False,-2,499548
False,False,False,-2,499572
False,False,False,-2,499596
False,False,False,-2,49962
False,False,False,-2,49964
False,False,False,-2,49966
False,False,False,-2,49968
False,False,False,-2,499698
False,False,False,-2,499715
False,False,False,-2,499731
False,False,False,-2,499747
False,False,False,-2,499761
False,False,False,-2,499775
False,False,False,-2,499787
False,False,False,-2,499799
False,False,False,-2,49981
False,False,False,-2,499827
False,False,False,-2,499837
False,False,False,-2,499846
False,False,False,-2,499855
False,False,False,-2,499862
False,False,False,-2,499869
False,False,False,-2,499876
False,False,False,-2,499883
False,False,False,-2,49989
False,False,False,-2,499896
False,False,False,-2,499902
False,False,False,-2,499907
False,False,False,-2,499912
False,False,False,-2,499917
False,False,False,-2,499922
False,False,False,-2,499926
False,False,False,-2,499931
False,False,False,-2,499934
False,False,False,-2,499938
False,False,False,-2,499941
False,False,False,-2,499944
False,False,False,-2,499948
False,False,False,-2,49995
False,False,False,-2,499953
False,False,False,-2,499956
False,False,False,-2,499959
False,False,False,-2,499961
False,False,False,-2,499963
False,False,False,-2,499965
False,False,False,-2,499967
False,False,False,-2,499969
False,False,False,-2,49997
False,False,False,-2,499972
False,False,False,-2,499974
False,False,False,-2,499975
False,False,False,-2,499976
False,False,False,-2,499977
False,False,False,-2,499979
False,False,False,-2,49998
False,False,False,-2,499981
False,False,False,-2,499982
False,False,False,-2,499983
False,False,False,-2,499984
False,False,False,-2,499985
False,False,False,-2,499986
False,False,False,-2,499986
False,False,False,-2,499987
False,False,False,-2,499988
False,False,False,-2,499989
False,False,False,-2,499989
False,False,False,-2,49999
False,False,False,-2,49999
False,False,False,-2,499991
False,False,False,-2,499991
False,False,False,-2,499992
False,False,False,-2,499992
False,False,False,-2,499993
False,False,False,-2,499993
False,False,False,-2,499994
